Order_ID,Transaction Date,Product  Name,Region ,Status,Unit_Price,QTY,Total_Revenue,Discount%,Customer Name,Notes
ORD2144,2023-11-18,IPAD,,Completed,50.08,7.0,350.56,13.7,--,
ORD2104,2023-11-07,Earphones,EU,COMPLETED,51.06,7.0,357.42,19.1,,URGENT
ORD2020,2023-01-09,PHONE,north america,pending,-99.99,3.0,N/A,28.1,John Smith,
ORD2232,2023-03-20,mobile phone,#REF!,COMPLETED,183.61,4.0,734.44,,,N/A
ORD2044,,Tab,ERROR,,99.04,2.0,198.08,24.9,,
ORD2028,2023-01-27,laptop,--,Completed,399.64,5.0,1998.2,7.8,UNKNOWN,
ORD2168,2023-09-01,mobile phone,N. America,Pending,98.7,9.0,888.3,1.7,Alice Brown,
ORD2220,2023-01-10,laptop,ASIA,Cancelled,414.11,4.0,1656.44,16.3,JANE DOE,
ORD2018,2023-11-10,Laptop,ASIA,Pending,422.0,7.0,2954.0,0.1,Customer #13,URGENT
ORD2234,2023-10-20,Mobile,ASIA,UNKNOWN,67.91,6.0,407.46,22.7,N/A,OK
ORD2140,INVALID_DATE,phone,EUROPE,Pending,466.7,8.0,3733.6,21.3,Customer #82,OK
ORD-77,2023-01-09,Phone,ASIA,ERROR,324.72,7.0,2273.04,29.3,,CHECK
ORD2163,2023-01-02,HEADPHONES,#REF!,completed,160.73,7.0,1125.11,1.7,--,
ORD2034,2023-02-24,TABLET,UNKNOWN,ERROR,477.74,10.0,5595.13,5.9,,OK
ORD2134,INVALID_DATE,headphones,asia,,216.13,8.0,1729.04,2.0,ERROR,
ORD2216,2023-01-12,tablet,N. America,N/A,304.59,10.0,3045.9,5.1,John Smith,N/A
ORD2204,2023-06-11,Mobile,europe,UNKNOWN,103.0,6.0,618.0,14.8,Alice Brown,
ORD2157,2023-08-14,LapTop,Europe,Cancelled,161.17,9.0,1450.53,10.9,Customer #13,N/A
ORD2036,2023-10-25,laptop,ASIA,UNKNOWN,230.03,1.0,230.03,24.7,Alice Brown,CHECK
ORD2208,2023-06-02,Tablet,--,COMPLETED,283.46,3.0,850.38,16.4,Alice Brown,
ORD2196,2023-01-12,Earphones,EU,COMPLETED,115.83,3.0,347.49,25.1,,
ORD2165,2023-01-25,Tablet,UNKNOWN,COMPLETED,455.92,8.0,3647.36,9.4,,
ORD2166,2023-11-24,Laptop,Asia,ERROR,83.92,7.0,587.44,15.0,,
ORD2095,,headphones,asia,Completed,133.72,5.0,668.6,15.9,--,
ORD2070,2023-05-22,LapTop,N. America,pending,117.12,8.0,936.96,22.3,John Smith,
ORD2042,2023-10-03,Phone,North America,Completed,21.25,6.0,127.5,25.1,bob johnson,URGENT
ORD2211,2023-02-18,IPAD,N/A,N/A,178.72,5.0,893.6,,N/A,
ORD2131,2023-08-31,TABLET,Asia,pending,444.66,10.0,4446.6,15.3,--,CHECK
ORD2065,2023-03-05,phone,--,COMPLETED,95.31,3.0,285.93,1.7,bob johnson,
ORD2179,2023-03-31,Phone,--,,306.87,8.0,2454.96,N/A,,
ORD2093,2023-09-21,TABLET,UNKNOWN,ERROR,447.74,2.0,895.48,8.1,,
ORD2236,2024-01-01,LAPTOP,#REF!,,462.01,,N/A,13.0,bob johnson,
ORD2110,2023-10-02,headphones,N/A,,88.96,0.0,N/A,,,
ORD2000,2023-10-18,lap top,UNKNOWN,N/A,403.68,10.0,4036.8,15.8,bob johnson,
ORD2086,2023-03-30,Phone,North America,COMPLETED,,8.0,N/A,5.8,UNKNOWN,OK
ORD2183,2023-07-09,headphones,EUROPE,Completed,54.68,6.0,328.08,18.2,,
ORD2169,2023-12-24,Phone,asia,Cancelled,14.77,0.0,N/A,29.4,Alice Brown,
ORD2156,2023-05-07,TABLET,Asia,UNKNOWN,169.25,10.0,1692.5,9.0,--,OK
ORD2122,2023-02-18,lap top,,UNKNOWN,293.86,5.0,1469.3,17.8,,
ORD2165,2023-01-25,Tablet,UNKNOWN,COMPLETED,455.92,8.0,3647.36,9.4,,
ORD2054,2023-02-25,lap top,USA,,249.23,8.0,1993.84,17.7,ERROR,
ORD2174,,HEADPHONES,asia,,193.94,9.0,1745.46,22.5,Alice Brown,CHECK
ORD2209,2023-03-09,ear phones,EUROPE,,163.81,10.0,1638.1,12.6,--,
ORD2017,2023-03-26,Mobile,Asia,,259.05,2.0,452.81,5.9,John Smith,
ORD2114,2023-04-06,IPAD,N. America,Completed,261.76,2.0,523.52,7.8,Alice Brown,URGENT
ORD2106,2023-09-20,PHONE,Asian Region,ERROR,142.62,3.0,427.86,8.4,John Smith,
ORD2053,2023-06-25,Tablet,,Pending,375.95,0.0,N/A,6.2,,
ORD2152,2023-05-14,Phone,--,COMPLETED,460.67,9.0,4146.03,27.7,John Smith,N/A
ORD2047,2023-07-24,mobile phone,Asian Region,Completed,357.35,1.0,332.41,19.6,UNKNOWN,
ORD2224,2023-12-26,PHONE,ASIA,UNKNOWN,326.42,8.0,2611.36,22.2,ERROR,
ORD2153,2023-02-14,Mobile,N. America,,245.04,7.0,1715.28,1.5,Alice Brown,
ORD2154,,Laptop,Europe,,184.91,6.0,1109.46,9.7,bob johnson,
ORD2085,2023-11-20,Laptop,EUROPE,COMPLETED,476.59,6.0,2859.54,2.0,UNKNOWN,
ORD2200,2023-01-11,LapTop,EUROPE,Cancelled,400.45,8.0,3203.6,10.3,N/A,
ORD2210,,HEADPHONES,N. America,Cancelled,13.12,1.0,13.12,0.0,JANE DOE,URGENT
ORD2037,2023-04-26,headphones,Europe,COMPLETED,498.66,9.0,4487.94,16.9,bob johnson,URGENT
ORD2073,2023-07-18,laptop,north america,Completed,206.18,9.0,1855.62,20.6,Customer #39,
ORD2056,2023-04-21,ear phones,EU,Cancelled,94.94,1.0,94.94,3.2,Alice Brown,
,2023-10-31,HeadPhones,#REF!,COMPLETED,189.06,3.0,567.18,,ERROR,CHECK
ORD2130,2023-08-17,Tablet,asia,ERROR,495.36,1.0,495.36,11.7,JANE DOE,
ORD2218,2023-02-22,LapTop,#REF!,completed,32.64,8.0,261.12,13.1,,
ORD2164,2023-04-17,Phone,asia,Cancelled,,5.0,N/A,21.4,Alice Brown,
ORD2172,2023-08-31,ear phones,ERROR,pending,53.06,3.0,159.18,24.8,,CHECK
ORD2213,2023-06-11,Laptop,Europe,Pending,167.31,2.0,334.62,29.2,John Smith,
ORD2138,2023-12-10,headphones,--,Cancelled,441.89,3.0,1325.67,29.4,,N/A
ORD2212,2023-09-30,Tablet,USA,,,1.0,N/A,0.3,,
,2023-02-26,HeadPhones,europe,Completed,357.18,0.0,N/A,1.3,N/A,
ORD2199,2023-10-02,tablet,ASIA,Cancelled,329.67,6.0,1978.02,8.9,--,
ORD2092,2023-12-29,HeadPhones,asia,completed,205.45,8.0,1643.6,N/A,ERROR,
ORD2137,2023-11-09,lap top,EU,Completed,37.88,,N/A,22.2,Alice Brown,OK
ORD2206,2023-01-12,LAPTOP,Asia,Cancelled,10.27,5.0,51.35,16.5,--,
ORD2021,2023-05-06,TABLET,ERROR,pending,486.57,7.0,3405.99,25.0,bob johnson,OK
ORD2125,2023-01-27,mobile phone,Asian Region,Completed,108.84,,N/A,,,
ORD2148,2023-08-31,phone,europe,ERROR,398.57,1.0,323.42,3.9,,
ORD2024,2023-07-13,Laptop,--,Pending,411.31,6.0,2467.86,5.6,,N/A
ORD2063,2023-11-11,LAPTOP,EUROPE,UNKNOWN,339.33,4.0,1357.32,27.4,,
ORD2055,2023-01-02,phone,N. America,UNKNOWN,436.73,10.0,5239.21,28.6,Alice Brown,OK
ORD2029,2023-02-21,HEADPHONES,#REF!,Pending,88.93,,N/A,21.0,bob johnson,CHECK
ORD2147,2023-10-12,HEADPHONES,asia,pending,265.51,2.0,625.21,,John Smith,
ORD2064,2023-10-19,LapTop,EUROPE,pending,172.45,9.0,1552.05,29.1,ERROR,
ORD2173,2023-08-01,phone,NA,Cancelled,158.44,3.0,477.55,2.9,JANE DOE,
ORD2090,INVALID_DATE,mobile phone,north america,pending,332.41,7.0,2326.87,15.5,Alice Brown,
ORD2044,,Tab,ERROR,,99.04,2.0,198.08,24.9,,
ORD2041,2023-08-17,laptop,EUROPE,UNKNOWN,333.49,4.0,1333.96,9.1,,
ORD2186,2023-02-25,headphones,N/A,UNKNOWN,461.42,2.0,964.21,14.4,Customer #42,
ORD2015,2023-12-01,LapTop,Asian Region,Completed,172.78,6.0,1036.68,29.2,Alice Brown,
ORD2010,2023-06-19,TABLET,North America,ERROR,212.06,4.0,848.24,N/A,bob johnson,URGENT
ORD2061,2023-07-22,phone,Europe,ERROR,353.1,9.0,3253.11,15.7,bob johnson,
ORD2128,2023-02-18,Tab,N/A,Completed,411.2,,N/A,24.9,John Smith,
ORD2197,2023-03-10,HeadPhones,asia,,247.88,4.0,991.52,11.2,bob johnson,
ORD2236,2024-01-01,LAPTOP,#REF!,,462.01,,N/A,13.0,bob johnson,
ORD2205,2023-04-02,Tab,--,COMPLETED,174.63,,N/A,23.1,JANE DOE,
ORD2126,2023-12-11,HeadPhones,--,COMPLETED,29.82,9.0,268.38,10.1,,
ORD2123,2023-07-21,HEADPHONES,North America,,300.64,7.0,2104.48,19.5,JANE DOE,URGENT
ORD2189,2023-04-29,tablet,--,Cancelled,335.95,4.0,1343.8,,UNKNOWN,
ORD2160,2023-07-14,HeadPhones,Asia,,49.28,10.0,492.8,17.4,--,
ORD2194,2023-04-19,phone,EU,ERROR,35.89,5.0,179.45,7.5,,
ORD2226,2023-05-27,Phone,asia,ERROR,279.95,0.0,N/A,7.9,Customer #62,CHECK
ORD2005,2023-12-26,mobile phone,Asian Region,UNKNOWN,177.96,10.0,1779.6,6.0,Alice Brown,CHECK
ORD2179,2023-03-31,Phone,--,,306.87,8.0,2454.96,N/A,,
ORD2135,2023-05-02,headphones,North America,ERROR,301.74,1.0,301.74,25.9,John Smith,URGENT
ORD2187,2023-06-18,IPAD,asia,,33.69,4.0,134.76,23.5,Alice Brown,
ORD-103,2023-12-30,Tab,North America,Cancelled,345.25,1.0,345.25,1.2,bob johnson,
ORD2221,2023-02-26,Tab,European Union,Pending,254.98,10.0,2549.8,14.4,,OK
ORD2192,2023-05-31,IPAD,#REF!,ERROR,178.26,5.0,891.3,4.9,bob johnson,
ORD2151,2023-08-25,Phone,European Union,Completed,149.73,7.0,1048.11,3.7,Customer #73,
ORD2117,2023-07-09,HeadPhones,europe,Pending,119.98,1.0,119.98,4.4,JANE DOE,
ORD2120,2023-04-05,mobile phone,north america,ERROR,411.64,6.0,2469.84,9.5,UNKNOWN,N/A
ORD2094,2023-09-21,LapTop,North America,UNKNOWN,275.83,8.0,2206.64,,ERROR,
ORD2184,2023-11-25,Mobile,European Union,Completed,46.97,0.0,N/A,22.5,Alice Brown,
ORD2162,2023-09-03,TABLET,Asia,N/A,401.9,7.0,2813.3,UNKNOWN,UNKNOWN,URGENT
ORD2202,2023-03-27,LAPTOP,Asia,completed,110.73,7.0,775.11,23.1,,
ORD2223,2023-10-19,tablet,ERROR,Pending,260.05,1.0,260.05,10.4,,
ORD2101,2023-05-03,mobile phone,EUROPE,N/A,189.57,8.0,1516.56,22.3,,
ORD2089,2023-01-25,LAPTOP,European Union,completed,411.9,1.0,411.9,13.8,Customer #17,CHECK
ORD2080,2023-01-03,Tab,--,ERROR,490.33,10.0,4903.3,6.3,N/A,OK
ORD2088,2023-02-09,LapTop,NA,UNKNOWN,10.86,9.0,97.74,17.8,,
ORD2083,2023-11-27,mobile phone,EU,Pending,265.67,3.0,797.01,12.0,bob johnson,OK
ORD2151,2023-08-25,Phone,European Union,Completed,149.73,7.0,1048.11,3.7,Customer #73,
ORD2161,2023-09-12,HeadPhones,ERROR,Cancelled,315.52,8.0,2524.16,16.8,Alice Brown,CHECK
ORD2113,2023-02-06,phone,,,-99.99,5.0,N/A,28.1,UNKNOWN,URGENT
ORD2079,2023-12-30,Laptop,ASIA,COMPLETED,410.58,0.0,N/A,23.4,JANE DOE,
ORD2159,2023-04-02,Mobile,north america,completed,117.86,2.0,235.72,20.7,John Smith,OK
ORD2192,2023-05-31,IPAD,#REF!,ERROR,178.26,5.0,891.3,4.9,bob johnson,
ORD2129,2023-05-23,Phone,European Union,Pending,65.42,0.0,N/A,14.9,bob johnson,CHECK
ORD2005,2023-12-26,mobile phone,Asian Region,UNKNOWN,177.96,10.0,1779.6,6.0,Alice Brown,CHECK
ORD2012,2023-12-23,laptop,Europe,ERROR,436.84,7.0,3057.88,UNKNOWN,Alice Brown,CHECK
ORD2019,2023-04-27,Mobile,ASIA,Pending,393.48,7.0,2754.36,25.0,ERROR,CHECK
ORD2074,2023-08-25,lap top,European Union,Completed,467.68,2.0,935.36,11.5,,
ORD2020,2023-01-09,PHONE,north america,pending,-99.99,3.0,N/A,28.1,John Smith,
ORD2035,2023-01-25,Laptop,#REF!,UNKNOWN,475.01,8.0,3800.08,25.8,N/A,N/A
ORD2099,2023-02-09,lap top,North America,completed,429.38,8.0,3435.04,1.8,bob johnson,
ORD2033,2023-09-15,phone,asia,N/A,365.52,5.0,1827.6,17.4,Customer #88,
ORD2098,2023-12-21,LAPTOP,N. America,UNKNOWN,283.8,10.0,2838.0,11.5,ERROR,URGENT
ORD2121,2023-07-23,phone,,completed,421.25,3.0,1263.75,1.2,ERROR,
ORD2111,2023-10-29,ear phones,#REF!,UNKNOWN,284.11,6.0,1704.66,N/A,bob johnson,OK
ORD2060,2023-12-12,tablet,ASIA,completed,336.25,9.0,3863.77,5.4,,
ORD2139,INVALID_DATE,PHONE,Asia,pending,304.37,6.0,1826.22,3.6,ERROR,N/A
ORD2030,2023-02-10,Phone,--,Cancelled,450.76,4.0,1803.04,27.5,UNKNOWN,
ORD2002,2023-11-26,Laptop,asia,COMPLETED,172.79,7.0,1226.09,16.6,UNKNOWN,OK
ORD2049,2023-01-15,Phone,Europe,UNKNOWN,185.05,10.0,1850.5,28.6,bob johnson,
ORD2112,,mobile phone,Asian Region,completed,477.9,0.0,N/A,5.7,,
ORD2167,2023-09-08,laptop,UNKNOWN,,62.23,6.0,373.38,9.9,John Smith,
ORD2084,2023-05-13,Tab,ERROR,Completed,388.56,8.0,3108.48,24.7,Alice Brown,
ORD2150,2023-03-03,mobile phone,N. America,COMPLETED,188.79,6.0,1132.74,12.0,JANE DOE,
ORD-143,2023-04-16,IPAD,--,Pending,180.23,1.0,180.23,28.2,Alice Brown,
ORD2100,2023-09-28,Laptop,north america,,52.53,3.0,157.59,15.0,John Smith,OK
ORD2059,2023-03-10,lap top,europe,Completed,243.14,7.0,1701.98,ERROR,bob johnson,N/A
ORD2076,2023-02-25,Tab,EUROPE,Cancelled,93.9,9.0,845.1,5.4,John Smith,
ORD2181,2023-02-20,tablet,N/A,ERROR,378.26,3.0,1134.78,2.8,Customer #57,URGENT
ORD2038,2023-09-29,IPAD,North America,Cancelled,298.61,0.0,N/A,12.7,JANE DOE,
ORD2201,2023-08-18,phone,N. America,COMPLETED,15.64,10.0,144.0,10.5,JANE DOE,URGENT
ORD2195,2023-10-16,TABLET,USA,completed,492.23,3.0,1476.69,9.2,,
ORD2075,2023-12-06,Earphones,EU,N/A,182.22,,N/A,11.2,,CHECK
ORD2193,2023-11-29,Tablet,N. America,,99.31,5.0,496.55,,N/A,
ORD2051,2023-09-19,Earphones,North America,,434.9,,N/A,,,
ORD2158,2023-05-24,laptop,UNKNOWN,,254.64,4.0,1200.12,29.1,Alice Brown,OK
ORD2124,2023-07-02,Earphones,north america,ERROR,,8.0,N/A,26.8,N/A,
ORD2039,2023-08-20,Tablet,N/A,Pending,448.79,10.0,4487.9,13.3,Customer #57,
ORD2203,2023-10-05,mobile phone,--,Completed,365.02,2.0,730.04,,ERROR,
ORD2116,2023-08-13,laptop,Asia,UNKNOWN,167.41,5.0,837.05,24.9,ERROR,
ORD2022,2023-08-28,HeadPhones,Europe,,42.25,1.0,42.25,12.1,Alice Brown,
ORD2155,2023-03-10,Mobile,ERROR,UNKNOWN,445.17,,N/A,26.8,--,
ORD2171,2023-06-01,HEADPHONES,EUROPE,completed,266.99,2.0,533.98,19.8,JANE DOE,URGENT
ORD2119,2023-07-30,LapTop,EUROPE,,141.29,7.0,989.03,10.5,John Smith,
ORD2025,2023-12-24,Laptop,asia,ERROR,352.04,9.0,3168.36,20.5,ERROR,
ORD2222,2023-01-16,LapTop,EU,,256.81,3.0,770.43,23.2,JANE DOE,
ORD2067,2023-03-25,phone,North America,Completed,286.75,5.0,1433.75,4.1,JANE DOE,
ORD2087,2023-09-09,mobile phone,EU,Pending,394.53,6.0,2693.52,8.1,ERROR,
ORD2004,2023-03-18,Tab,USA,COMPLETED,397.08,2.0,794.16,4.0,Customer #70,OK
ORD2006,2023-04-27,lap top,European Union,Cancelled,356.59,4.0,1426.36,1.0,JANE DOE,URGENT
ORD2048,2023-01-26,LapTop,ASIA,completed,315.26,7.0,2206.82,25.1,UNKNOWN,URGENT
ORD2014,2023-01-29,Tablet,Asian Region,COMPLETED,-99.99,7.0,N/A,16.4,Customer #33,
ORD2052,2023-06-14,tablet,European Union,Pending,280.22,10.0,2802.2,26.7,Alice Brown,N/A
ORD2046,2023-01-21,mobile phone,asia,,351.26,5.0,1936.9,14.9,bob johnson,
ORD2031,2023-10-15,Tab,NA,completed,163.1,9.0,1467.9,28.6,Customer #29,
ORD2058,2023-06-22,IPAD,,,329.48,4.0,1317.92,20.6,UNKNOWN,
ORD-214,2023-03-25,Phone,EUROPE,UNKNOWN,298.1,4.0,1192.4,9.4,--,
ORD2127,2023-04-04,Laptop,UNKNOWN,Completed,286.92,8.0,2295.36,21.9,--,N/A
ORD2191,2023-02-23,tablet,#REF!,COMPLETED,416.16,4.0,1664.64,23.4,bob johnson,N/A
ORD2078,2023-02-07,phone,europe,UNKNOWN,45.99,10.0,459.9,3.9,Alice Brown,N/A
ORD2078,2023-02-07,phone,europe,UNKNOWN,45.99,10.0,459.9,3.9,Alice Brown,N/A
,2023-11-02,Phone,asia,pending,47.78,4.0,204.61,0.2,UNKNOWN,
ORD2009,2023-09-14,phone,EUROPE,N/A,378.13,2.0,756.26,2.9,Alice Brown,URGENT
ORD2108,2023-06-08,LapTop,UNKNOWN,,373.25,8.0,2986.0,25.3,JANE DOE,
ORD2122,2023-02-18,lap top,,UNKNOWN,293.86,5.0,1469.3,17.8,,
ORD2235,2023-07-19,Earphones,Europe,Completed,86.65,7.0,606.55,25.3,,OK
ORD2003,2023-02-19,Tablet,USA,COMPLETED,317.78,,N/A,20.9,ERROR,
ORD2198,2023-10-20,Phone,EU,COMPLETED,256.37,9.0,2307.33,11.3,N/A,
ORD2206,2023-01-12,LAPTOP,Asia,Cancelled,10.27,5.0,51.35,16.5,--,
ORD2001,2023-03-09,IPAD,Asian Region,Completed,68.36,6.0,459.31,2.7,ERROR,
ORD2219,2023-10-02,Tab,UNKNOWN,UNKNOWN,69.07,1.0,69.07,23.1,,CHECK
ORD2177,2023-04-09,LAPTOP,N/A,pending,219.22,10.0,2192.2,29.2,,
ORD2057,2023-08-29,LAPTOP,N/A,N/A,317.31,0.0,N/A,11.2,UNKNOWN,
ORD2170,2023-11-20,TABLET,North America,Completed,364.14,7.0,2548.98,11.6,John Smith,N/A
ORD2182,2023-09-04,lap top,asia,UNKNOWN,116.18,5.0,580.9,0.3,,
ORD2081,2023-06-03,mobile phone,north america,,468.0,1.0,468.0,3.7,John Smith,OK
ORD2053,2023-06-25,Tablet,,Pending,375.95,0.0,N/A,6.2,,
,2023-03-31,Tablet,asia,N/A,308.72,5.0,1543.6,2.5,Customer #20,
ORD2227,2023-02-07,PHONE,N/A,ERROR,445.97,3.0,1337.91,21.0,Customer #28,
ORD2180,2023-06-19,PHONE,EUROPE,N/A,-99.99,9.0,N/A,27.8,,URGENT
ORD2023,2023-01-19,TABLET,europe,Completed,193.65,3.0,612.18,29.3,Customer #95,
ORD2178,2023-01-30,HEADPHONES,NA,Completed,38.48,2.0,76.96,22.0,,OK
ORD2027,2023-11-13,Tab,north america,N/A,367.99,5.0,1839.95,N/A,ERROR,
ORD2072,2023-02-12,lap top,Asia,Cancelled,480.03,8.0,3840.24,10.8,,CHECK
ORD2084,2023-05-13,Tab,ERROR,Completed,388.56,8.0,3108.48,24.7,Alice Brown,
ORD2233,2023-03-18,HeadPhones,Asia,COMPLETED,114.36,10.0,1143.6,25.1,,
ORD2013,2023-12-05,Laptop,,Pending,49.81,9.0,448.29,16.7,ERROR,OK
ORD2132,2023-12-14,Phone,EUROPE,pending,241.47,6.0,1448.82,1.6,JANE DOE,
ORD2105,2023-09-13,phone,Asia,Cancelled,389.64,10.0,3675.59,9.0,UNKNOWN,
ORD2032,2023-07-27,Tablet,north america,Completed,364.89,8.0,2919.12,0.6,UNKNOWN,
ORD2043,2023-09-10,LapTop,Europe,,166.57,5.0,832.85,11.3,N/A,
ORD2220,2023-01-10,laptop,ASIA,Cancelled,414.11,4.0,1656.44,16.3,JANE DOE,
ORD2115,2023-12-05,Tab,Asia,N/A,391.16,5.0,1955.8,10.3,ERROR,URGENT
ORD2229,2023-12-24,Phone,Europe,Completed,ERROR,6.0,N/A,16.5,UNKNOWN,
ORD-190,2023-07-15,Tablet,,UNKNOWN,329.16,9.0,2763.67,13.3,ERROR,
ORD2145,2023-06-08,lap top,asia,,246.26,7.0,1723.82,5.4,UNKNOWN,
ORD2102,2023-09-21,ear phones,ERROR,,61.04,9.0,549.36,28.8,John Smith,
ORD2071,2023-08-04,LapTop,Asia,Cancelled,253.76,10.0,2537.6,5.0,N/A,N/A
ORD-62,2023-11-14,PHONE,#REF!,N/A,,0.0,N/A,2.8,John Smith,OK
ORD-50,2023-11-04,IPAD,--,ERROR,41.05,9.0,369.45,UNKNOWN,Alice Brown,URGENT
ORD2230,2023-09-02,LapTop,NA,Cancelled,287.09,8.0,2296.72,23.2,ERROR,CHECK
ORD2228,2023-09-15,HeadPhones,#REF!,completed,,10.0,N/A,7.4,,N/A
ORD2215,2023-07-19,Earphones,#REF!,COMPLETED,99.27,1.0,99.27,27.2,bob johnson,
ORD2149,2023-01-08,HEADPHONES,EU,Completed,226.27,9.0,2036.43,19.8,JANE DOE,
ORD2079,2023-12-30,Laptop,ASIA,COMPLETED,410.58,0.0,N/A,23.4,JANE DOE,
ORD2011,2023-10-10,lap top,Europe,Pending,148.0,10.0,1480.0,11.7,John Smith,CHECK
ORD2066,2023-07-04,Phone,EUROPE,Cancelled,39.78,6.0,238.68,23.4,Alice Brown,
ORD2069,2023-01-30,tablet,NA,,276.13,6.0,1656.78,8.5,JANE DOE,
ORD2176,,Mobile,EUROPE,Pending,365.81,8.0,2926.48,27.6,N/A,
ORD2136,2023-09-23,PHONE,ERROR,completed,344.97,8.0,2759.76,N/A,ERROR,
ORD2008,,Mobile,,pending,242.14,7.0,1694.98,8.6,JANE DOE,OK
ORD2117,2023-07-09,HeadPhones,europe,Pending,119.98,1.0,119.98,4.4,JANE DOE,
ORD2056,2023-04-21,ear phones,EU,Cancelled,94.94,1.0,94.94,3.2,Alice Brown,
ORD2016,2023-05-21,HEADPHONES,EU,ERROR,,3.0,N/A,8.6,,
ORD2217,2023-03-03,TABLET,europe,Completed,316.62,,N/A,19.7,,
ORD2225,2023-01-25,HEADPHONES,European Union,Completed,368.13,1.0,368.13,10.6,--,
ORD2200,2023-01-11,LapTop,EUROPE,Cancelled,400.45,8.0,3203.6,10.3,N/A,
